id_municipio,ano_pib,pib,populacao
1600303,2022,15571145000,442933
1707553,2022,102788000,3467
1718840,2022,119921000,3723
2100402,2022,79336000,6447
2101103,2022,106712000,11790
2101608,2022,1034429000,84532
2102903,2022,235574000,24238
2104099,2022,222176000,17719
2104677,2022,300656000,23128
2106102,2022,527370000,11597
2108207,2022,873113000,37050
2110039,2022,339199000,24307
2110104,2022,311349000,23957
2201739,2022,232080000,6220
2202653,2022,60408000,5496
2205599,2022,47233000,4520
2301406,2022,159277000,11224
2303709,2022,9891544000,355679
2306702,2022,257163000,17232
2309805,2022,153002000,11186
2310308,2022,309635000,31445
2313005,2022,318203000,18179
2313906,2022,238457000,13746
2504207,2022,57036000,4491
2506400,2022,170588000,13766
2514552,2022,37036000,3416
2600609,2022,166384000,13542
2605400,2022,255595000,21427
2702702,2022,176508000,3963
2803203,2022,1099233000,34411
2807006,2022,52287000,3434
2901353,2022,222631000,15012
2909505,2022,48368000,4415
2909901,2022,411634000,34180
2911204,2022,512869000,32178
2912905,2022,245794000,18792
2928208,2022,400247000,24755
3100807,2022,110898000,4357
3112802,2022,406755000,10380
3117900,2022,241164000,11083
3127503,2022,77889000,5230
3135076,2022,75146000,4296
3136959,2022,71184000,5789
3138609,2022,360158000,17221
3148608,2022,261343000,17446
3151800,2022,9792526000,163742
3163706,2022,1249052000,44798
3165560,2022,36775000,2433
3167806,2022,95263000,5613
3168903,2022,434588000,7883
3203304,2022,242040000,12770
3301306,2022,3142865000,46110
3302254,2022,6268879000,30908
3303807,2022,4426137000,45243
3304102,2022,564478000,17288
3304110,2022,3956993000,20373
3500501,2022,709590000,17930
3512209,2022,978772000,28101
3518206,2022,1475720000,31043
3520400,2022,24913501000,34934
3520608,2022,90275000,5090
3523107,2022,10755651000,369275
3523503,2022,432050000,19070
3523602,2022,1735171000,16148
3529104,2022,42490000,1860
3539400,2022,325773000,15108
3541604,2022,2922928000,35131
3543402,2022,47434521000,698642
3546603,2022,1681363000,34794
3549102,2022,4683629000,92547
3549805,2022,23799646000,480393
3553500,2022,191747000,7996
3554003,2022,5978312000,123942
4107546,2022,204709000,4797
4108957,2022,267831000,7856
4116059,2022,431521000,11064
4116802,2022,334807000,6790
4119657,2022,154662000,3046
4124400,2022,665500000,23673
4126009,2022,310711000,8063
4126272,2022,1161786000,6108
4128500,2022,845345000,19188
4204509,2022,838130000,15267
4206306,2022,1328997000,24543
4206801,2022,155012000,3269
4208104,2022,1173581000,22051
4208807,2022,815250000,20375
4211454,2022,167423000,4536
4215000,2022,1709159000,39261
4301875,2022,231623000,4241
4302303,2022,432191000,11202
4310652,2022,83433000,2638
4318705,2022,11108700000,217409
4321105,2022,550850000,14695
4321493,2022,75078000,2554
4322806,2022,2153389000,24021
5002951,2022,3540874000,30993
5100359,2022,321152000,5715
5106232,2022,925054000,16352
