ano,id_municipio,rede,etapa,ideb
2023,5221080,estadual,EF anos iniciais,NA
2023,1100122,municipal,EF anos finais,NA
2023,1101757,municipal,EF anos finais,NA
2023,1702208,municipal,EF anos finais,NA
2023,2102002,estadual,EF anos finais,NA
2023,2102804,estadual,EF anos finais,NA
2023,2109403,estadual,EF anos finais,NA
2023,2110708,estadual,EF anos finais,NA
2023,2200277,estadual,EF anos finais,NA
2023,2205300,municipal,EF anos finais,NA
2023,2302008,estadual,EF anos finais,NA
2023,2302503,estadual,EF anos finais,NA
2023,2306702,estadual,EF anos finais,NA
2023,2407906,estadual,EF anos finais,NA
2023,2412203,municipal,EF anos finais,NA
2023,2412500,estadual,EF anos finais,NA
2023,2505238,estadual,EF anos finais,NA
2023,2615201,estadual,EF anos finais,NA
2023,2705101,estadual,EF anos finais,NA
2023,2706000,estadual,EF anos finais,NA
2023,2708600,estadual,EF anos finais,NA
2023,2803401,estadual,EF anos finais,NA
2023,2806305,estadual,EF anos finais,NA
2023,2901106,estadual,EF anos finais,NA
2023,2910701,estadual,EF anos finais,NA
2023,2915809,estadual,EF anos finais,NA
2023,2922730,estadual,EF anos finais,NA
2023,2927002,estadual,EF anos finais,NA
2023,3102506,municipal,EF anos finais,NA
2023,3127909,estadual,EF anos finais,NA
2023,3133006,municipal,EF anos finais,NA
2023,3133303,municipal,EF anos finais,NA
2023,3138104,municipal,EF anos finais,NA
2023,3145877,municipal,EF anos finais,NA
2023,3165404,municipal,EF anos finais,NA
2023,3170800,municipal,EF anos finais,NA
2023,3202009,municipal,EF anos finais,NA
2023,3202108,municipal,EF anos finais,NA
2023,3202553,municipal,EF anos finais,NA
2023,3302403,estadual,EF anos finais,NA
2023,3304524,estadual,EF anos finais,NA
2023,3502309,estadual,EF anos finais,NA
2023,3506102,municipal,EF anos finais,NA
2023,3509452,estadual,EF anos finais,NA
2023,4214607,estadual,EF anos finais,NA
2023,4217907,estadual,EF anos finais,NA
2023,5005004,municipal,EF anos finais,NA
2023,5100508,municipal,EF anos finais,NA
2023,5106778,municipal,EF anos finais,NA
2023,5107180,municipal,EF anos finais,NA
2023,5107925,municipal,EF anos finais,NA
2023,5200175,municipal,EF anos finais,NA
2023,5208806,municipal,EF anos finais,NA
2023,5209291,municipal,EF anos finais,NA
2023,5211701,municipal,EF anos finais,NA
2023,1100106,federal,EM,NA
2023,1600105,estadual,EM,NA
2023,1716109,federal,EM,NA
2023,3102506,estadual,EM,NA
2023,3202405,federal,EM,NA
2023,3304151,federal,EM,NA
2023,3304904,federal,EM,NA
2023,4101150,estadual,EM,NA
2023,4200556,estadual,EM,NA
2023,4202099,estadual,EM,NA
2023,4309258,estadual,EM,NA
2023,4310207,municipal,EM,NA
2023,4314209,estadual,EM,NA
2023,5101902,estadual,EM,NA
2023,1301852,estadual,EF anos iniciais,NA
2023,1702208,estadual,EF anos iniciais,NA
2023,1705607,estadual,EF anos iniciais,NA
2023,1719004,estadual,EF anos iniciais,NA
2023,2108108,estadual,EF anos iniciais,NA
2023,2109106,estadual,EF anos iniciais,NA
2023,2110807,estadual,EF anos iniciais,NA
2023,2204808,estadual,EF anos iniciais,NA
2023,2210631,estadual,EF anos iniciais,NA
2023,2301000,estadual,EF anos iniciais,NA
2023,2409506,municipal,EF anos iniciais,NA
2023,2502300,estadual,EF anos iniciais,NA
2023,2508000,estadual,EF anos iniciais,NA
2023,2510808,estadual,EF anos iniciais,NA
2023,2600302,estadual,EF anos iniciais,NA
2023,2605806,estadual,EF anos iniciais,NA
2023,2607505,estadual,EF anos iniciais,NA
2023,2700508,estadual,EF anos iniciais,NA
2023,2907806,estadual,EF anos iniciais,NA
2023,2908200,estadual,EF anos iniciais,NA
2023,2908804,estadual,EF anos iniciais,NA
2023,2916708,estadual,EF anos iniciais,NA
2023,3104809,estadual,EF anos iniciais,NA
2023,3110509,estadual,EF anos iniciais,NA
2023,3114402,estadual,EF anos iniciais,NA
2023,3128808,estadual,EF anos iniciais,NA
2023,3135308,estadual,EF anos iniciais,NA
2023,3140159,estadual,EF anos iniciais,NA
2023,3150570,estadual,EF anos iniciais,NA
2023,3151909,municipal,EF anos iniciais,NA
2023,3205010,estadual,EF anos iniciais,NA
2023,3301900,estadual,EF anos iniciais,NA
2023,3303401,estadual,EF anos iniciais,NA
2023,3516606,estadual,EF anos iniciais,NA
2023,3524303,estadual,EF anos iniciais,NA
2023,3541406,estadual,EF anos iniciais,NA
2023,3551801,estadual,EF anos iniciais,NA
2023,4104402,estadual,EF anos iniciais,NA
2023,4119905,estadual,EF anos iniciais,NA
2023,4125001,estadual,EF anos iniciais,NA
2023,4210803,estadual,EF anos iniciais,NA
2023,4214300,estadual,EF anos iniciais,NA
2023,4215505,estadual,EF anos iniciais,NA
2023,4218251,estadual,EF anos iniciais,NA
2023,4309803,estadual,EF anos iniciais,NA
2023,5000807,estadual,EF anos iniciais,NA
2023,5003108,estadual,EF anos iniciais,NA
2023,5108600,estadual,EF anos iniciais,NA
2023,5202353,estadual,EF anos iniciais,NA
2023,5207600,estadual,EF anos iniciais,NA
2023,1100056,municipal,EF anos finais,NA
2023,1501709,municipal,EF anos finais,NA
2023,1702307,municipal,EF anos finais,NA
2023,2102606,estadual,EF anos finais,NA
2023,2108702,estadual,EF anos finais,NA
2023,2110005,estadual,EF anos finais,NA
2023,2200202,estadual,EF anos finais,NA
2023,2202406,estadual,EF anos finais,NA
2023,2205300,estadual,EF anos finais,NA
2023,2300507,estadual,EF anos finais,NA
2023,2304350,estadual,EF anos finais,NA
2023,2412005,estadual,EF anos finais,NA
2023,2413904,municipal,EF anos finais,NA
2023,2504306,estadual,EF anos finais,NA
2023,2603900,estadual,EF anos finais,NA
2023,2606101,estadual,EF anos finais,NA
2023,2610301,estadual,EF anos finais,NA
2023,2706901,estadual,EF anos finais,NA
2023,2920106,estadual,EF anos finais,NA
2023,2924678,estadual,EF anos finais,NA
