ano,id_municipio,rede,etapa,tdi,taxa_aprovacao,taxa_reprovacao,taxa_abandono,hrs_aula
2023,1100106,municipal,EF anos finais,33.4,71.4,NA,0,NA
2023,1100106,municipal,EM,NA,NA,16.6,0,22.4
2023,1100114,estadual,EF anos iniciais,14,58.766666666666666,4.5,35.8,0
2023,1100114,estadual,EF anos finais,7.3999999999999995,99.3,4.4,6.133333333333333,80
2023,1100114,estadual,EM,NA,4.4,0,17.6,NA
2023,1100114,federal,EF anos iniciais,NA,NA,NA,NA,NA
2023,1100114,federal,EF anos finais,NA,NA,NA,NA,NA
2023,1100114,federal,EM,NA,NA,0,NA,NA
2023,1100114,municipal,EF anos iniciais,18.5,99.5,4.3,13.233333333333334,NA
2023,1100114,municipal,EF anos finais,19.333333333333332,100,4.3,3.3666666666666667,NA
2023,1100114,municipal,EM,NA,4.3,7.633333333333334,18.2,19.8
2023,1100122,estadual,EF anos iniciais,17.166666666666668,72.2,4.066666666666666,29.93333333333333,0
2023,1100122,estadual,EF anos finais,18.633333333333333,90.96666666666667,4.066666666666666,7.5,73
2023,1100122,estadual,EM,NA,4.066666666666666,30.266666666666666,26.666666666666668,NA
2023,1100122,federal,EF anos iniciais,NA,NA,NA,NA,NA
2023,1100122,federal,EF anos finais,NA,NA,NA,NA,NA
2023,1100122,federal,EM,NA,NA,0,NA,NA
2023,1100122,municipal,EF anos iniciais,22.366666666666667,98.33333333333333,6.1,9.566666666666666,0
2023,1100122,municipal,EF anos finais,22.5,100,6.1,0.5666666666666667,66.7
2023,1100122,municipal,EM,NA,6.2,16.166666666666668,14.8,18.866666666666667
2023,1100130,estadual,EF anos iniciais,NA,NA,4.066666666666666,49.1,0
2023,1100130,estadual,EF anos finais,NA,98.26666666666667,4.033333333333333,2.666666666666667,59
2023,1100130,estadual,EM,NA,4.1,0,45.56666666666666,NA
2023,1100130,municipal,EF anos iniciais,19.033333333333335,95.5,NA,3.6666666666666665,NA
2023,1100130,municipal,EF anos finais,20.400000000000002,50,NA,1.4666666666666668,NA
2023,1100130,municipal,EM,NA,NA,16.666666666666664,0,17.266666666666666
2023,1100148,estadual,EF anos iniciais,NA,NA,7.1,27.8,0
2023,1100148,estadual,EF anos finais,NA,100,5.8,5.6,40
2023,1100148,estadual,EM,NA,6.2,50,27.8,NA
2023,1100148,municipal,EF anos iniciais,17.366666666666667,97.8,4.3,26.166666666666664,NA
2023,1100148,municipal,EF anos finais,18.933333333333334,100,4.4,3.4666666666666663,NA
2023,1100148,municipal,EM,NA,4.366666666666667,66.66666666666667,36.06666666666666,21.03333333333333
2023,1100155,estadual,EF anos iniciais,NA,NA,4.3,45.2,0
2023,1100155,estadual,EF anos finais,NA,100,4.3,1.4,43.7
2023,1100155,estadual,EM,NA,4.3,57.1,45.2,NA
2023,1100155,municipal,EF anos iniciais,21.6,100,NA,8.6,NA
2023,1100155,municipal,EF anos finais,20.666666666666668,100,NA,0,NA
2023,1100155,municipal,EM,NA,NA,0,0,20.533333333333335
2023,1100189,estadual,EF anos iniciais,12.5,100,5.2,30.4,0
2023,1100189,estadual,EF anos finais,19,100,5.1,14.1,50
2023,1100189,estadual,EM,NA,5,55.36666666666667,39.3,NA
