ano,id_municipio,rede,etapa,ideb,tdi,taxa_aprovacao,taxa_reprovacao,taxa_abandono,hrs_aula,ano_pib,pib,populacao,pib_pc,pib_pc_mil,log_pib,grupo_pib
2023,1303569,estadual,EF anos iniciais,NA,NA,NA,4.4,42.1,NA,2022,406487000,24936,16301.211100417067,16.301211100417067,9.698994684673782,Abaixo da mediana
2023,1400472,estadual,EF anos iniciais,NA,NA,NA,4.3,45.06666666666667,4.933333333333334,2022,828529000,32647,25378.41149263332,25.37841149263332,10.141654150366872,Abaixo da mediana
2023,1507102,estadual,EF anos iniciais,NA,NA,NA,4.9,0,0,2022,200864000,16666,12052.322092883715,12.052322092883715,9.397012625157243,Abaixo da mediana
2023,1715101,estadual,EF anos iniciais,NA,NA,NA,5.4,65,NA,2022,163935000,3969,41303.85487528345,41.30385487528345,10.628711112977955,Acima da mediana
2023,1717909,estadual,EF anos iniciais,NA,NA,NA,4.4,58.6,0,2022,125341000,7586,16522.6733456367,16.5226733456367,9.71248885877916,Abaixo da mediana
2023,1718709,estadual,EF anos iniciais,NA,NA,NA,4.5,35.7,NA,2022,94635000,2738,34563.55003652301,34.56355003652301,10.450554938606762,Acima da mediana
2023,1720200,estadual,EF anos iniciais,NA,NA,NA,4.4,81.56666666666666,NA,2022,233758000,13241,17654.1046748735,17.654104674873498,9.778723594806596,Abaixo da mediana
2023,2100105,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,117493000,6144,19123.209635416668,19.123209635416668,9.858658040478266,Abaixo da mediana
2023,2105807,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,98654000,9506,10378.077003997476,10.378077003997475,9.247450879826683,Abaixo da mediana
2023,2210102,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,44548000,3297,13511.67728237792,13.511677282377919,9.511309574423397,Abaixo da mediana
2023,2412609,estadual,EF anos iniciais,NA,NA,NA,4.6,52.9,0,2022,273442000,16786,16289.884427499106,16.289884427499107,9.698299606880875,Abaixo da mediana
2023,2509107,estadual,EF anos iniciais,NA,NA,NA,4.8,37.5,0,2022,257312000,21512,11961.323912235031,11.96132391223503,9.389433716381312,Abaixo da mediana
2023,2509305,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,196942000,8244,23889.13148956817,23.88913148956817,10.081178885099288,Abaixo da mediana
2023,2512507,estadual,EF anos iniciais,NA,NA,NA,4.5,40,0,2022,688426000,47658,14445.129883755088,14.445129883755088,9.578112604466355,Abaixo da mediana
2023,2513901,estadual,EF anos iniciais,NA,NA,NA,NA,20,NA,2022,627757000,32235,19474.391189700636,19.474391189700636,9.876855609130958,Abaixo da mediana
2023,2516904,estadual,EF anos iniciais,NA,10,100,4.866666666666667,35.53333333333333,0,2022,219080000,14930,14673.811118553249,14.67381111855325,9.593819627346559,Abaixo da mediana
2023,2701902,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,255386000,5910,43212.52115059222,43.21252115059222,10.673885573685178,Acima da mediana
2023,2904704,estadual,EF anos iniciais,NA,10,0,4.8,23.1,NA,2022,212174000,14804,14332.207511483382,14.332207511483382,9.570264557212253,Abaixo da mediana
2023,2918001,estadual,EF anos iniciais,NA,NA,NA,5,58.1,0,2022,3613954000,158813,22756.033825946237,22.756033825946236,10.032585612332179,Abaixo da mediana
2023,2926608,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,805349000,54010,14911.109053878912,14.911109053878912,9.609861788217097,Abaixo da mediana
2023,3115607,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,24733000,1081,22879.740980573544,22.879740980573544,10.038007124650525,Abaixo da mediana
2023,3130705,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,861720000,6171,139640.252795333,139.64025279533303,11.846824771553434,Acima da mediana
2023,3138351,municipal,EF anos iniciais,NA,18.5,100,5.8,23.3,NA,2022,72571000,4341,16717.576595254548,16.71757659525455,9.7242159356586,Abaixo da mediana
2023,3149408,municipal,EF anos iniciais,NA,19,100,4.4,11.8,NA,2022,32643000,1810,18034.806629834253,18.034806629834254,9.800058871341387,Abaixo da mediana
2023,3159100,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,53371000,3469,15385.12539636783,15.38512539636783,9.64115643828307,Abaixo da mediana
2023,3303005,estadual,EF anos iniciais,NA,NA,NA,7.7,57.7,NA,2022,725936000,26881,27005.54294855102,27.00554294855102,10.203797418307236,Acima da mediana
2023,4105409,estadual,EF anos iniciais,NA,9.5,56.5,6.3,53.53333333333334,0,2022,968768000,21085,45945.838273654255,45.94583827365425,10.735218552923714,Acima da mediana
2023,4204905,estadual,EF anos iniciais,NA,11,83.3,4,45.9,NA,2022,328520000,8530,38513.48182883939,38.51348182883939,10.558763636350541,Acima da mediana
2023,4205001,estadual,EF anos iniciais,NA,16.5,93.33333333333331,4.066666666666666,30.8,0,2022,585416000,15008,39006.92963752665,39.006929637526646,10.57149459234153,Acima da mediana
2023,4304853,municipal,EF anos iniciais,NA,7,100,NA,33.3,NA,2022,54403000,1368,39768.27485380117,39.768274853801174,10.590824759181956,Acima da mediana
2023,4323309,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,331034000,3646,90793.7465715853,90.7937465715853,11.416345691860723,Acima da mediana
2023,5002209,estadual,EF anos iniciais,NA,NA,NA,4.4,55.6,NA,2022,1312946000,23659,55494.568663088045,55.494568663088046,10.924040433019394,Acima da mediana
2023,5103254,estadual,EF anos iniciais,NA,NA,100,4.633333333333334,50.833333333333336,6.266666666666667,2022,781097000,25766,30315.02755569355,30.315027555693547,10.319398827484259,Acima da mediana
2023,5205513,estadual,EF anos iniciais,NA,NA,NA,4.4,49,NA,2022,500549000,25016,20009.154141349536,20.009154141349537,9.903945154887676,Abaixo da mediana
2023,5213103,estadual,EF anos iniciais,NA,NA,NA,4.9,41.2,0,2022,4410757000,70081,62937.986044719684,62.937986044719686,11.049905172088016,Acima da mediana
2023,5214861,estadual,EF anos iniciais,NA,NA,NA,4.366666666666667,11.7,NA,2022,211783000,8310,25485.31889290012,25.485318892900118,10.14585783566035,Abaixo da mediana
2023,1300201,municipal,EF anos finais,NA,22.133333333333333,19.3,4,2.8666666666666667,55.63333333333333,2022,177565000,15314,11594.945801227635,11.594945801227636,9.358324575355951,Abaixo da mediana
2023,2101905,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,158758000,19584,8106.515522875817,8.106515522875817,9.00042340285609,Abaixo da mediana
2023,2103901,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,109870000,10223,10747.334441944635,10.747334441944634,9.28241304392005,Abaixo da mediana
2023,2107100,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,168263000,18554,9068.826129136574,9.068826129136575,9.112598111264287,Abaixo da mediana
2023,2110500,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,372912000,46395,8037.762689945037,8.037762689945037,8.991906051053169,Abaixo da mediana
2023,2301604,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,273041000,21697,12584.274323639213,12.584274323639212,9.440203243899685,Abaixo da mediana
2023,2308377,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,127318000,14196,8968.58269935193,8.968582699351929,9.101482938037254,Abaixo da mediana
2023,2311264,estadual,EF anos finais,NA,9,90,4,0,NA,2022,211391000,20213,10458.170484341761,10.45817048434176,9.255138816426426,Abaixo da mediana
2023,2314102,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,642465000,59712,10759.395096463022,10.759395096463022,9.28353461433466,Abaixo da mediana
2023,2400901,estadual,EF anos finais,NA,27,100,4.5,4.8,NA,2022,70797000,6577,10764.330241751559,10.764330241751559,9.283993191583486,Abaixo da mediana
2023,2411908,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,65016000,4161,15625.090122566691,15.625090122566691,9.656633242432237,Abaixo da mediana
2023,2500502,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,152280000,13725,11095.081967213115,11.095081967213115,9.314257223100839,Abaixo da mediana
2023,2512804,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,103304000,8493,12163.42870599317,12.163428705993171,9.406189081728614,Abaixo da mediana
2023,2514453,estadual,EF anos finais,NA,NA,NA,NA,NA,25,2022,69571000,5891,11809.709726701749,11.80970972670175,9.376677330286618,Abaixo da mediana
2023,2517100,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,41255000,2668,15462.893553223388,15.462893553223388,9.646198468485066,Abaixo da mediana
2023,2603504,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,188599000,17419,10827.200183707446,10.827200183707445,9.289816782445177,Abaixo da mediana
2023,2603702,estadual,EF anos finais,NA,NA,NA,NA,NA,84.9,2022,276707000,24329,11373.545973940565,11.373545973940566,9.339045409181889,Abaixo da mediana
